ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap,n_days
HAL,fail,34.04999923706055,33.08340003967285,25.87685001373291,13449576.0,18530400.0,1.377768340057709,relvol<min,,
CVE,PASS,22.729999542236328,19.660399894714356,16.89464994907379,13956842.0,22289500.0,1.597030331073462,,42204156122.0,
SHEL,PASS,84.69999694824219,76.63420013427735,73.24185005187988,5458459.16,9921024.0,1.817550284648461,,234207351353.0,
OIH,fail,373.3299865722656,347.28199951171877,279.67044952392575,688726.0,558000.0,0.8101915711037481,relvol<min,,
XLB,fail,49.86000061035156,50.02300010681152,45.851100025177004,16896422.0,23170700.0,1.371337671372081,"relvol<min,below_sma50",,
IYM,fail,176.38999938964844,173.55499908447266,152.04309974670412,163982.0,262500.0,1.6007854520618117,avgvol50<min,,
XOI,insufficient_history,,,,,,,,,0.0
OSX,insufficient_history,,,,,,,,,0.0
XNG,insufficient_history,,,,,,,,,0.0
XAL,insufficient_history,,,,,,,,,0.0
GOX,insufficient_history,,,,,,,,,0.0
XAU,insufficient_history,,,,,,,,,0.0
SCCO,fail,184.97000122070312,184.94504425048828,129.4180811691284,2126267.98,1799800.0,0.8464596264107782,relvol<min,,
AEM,fail,221.0,206.82380065917968,160.94020000457763,2734096.0,2177000.0,0.7962412439065782,relvol<min,,
CCJ,fail,109.68000030517578,113.59079971313477,88.22444988250733,4159516.0,4110500.0,0.9882159366618616,"relvol<min,below_sma50",,
TRX,fail,1.649999976158142,1.402600004673004,0.7356000025570393,7678110.0,4074500.0,0.5306644473705118,"price<min,relvol<min",,
ERX,fail,87.72000122070312,71.48480018615723,58.447750091552734,473764.0,903900.0,1.9079119561638285,avgvol50<min,,
DIG,fail,56.619998931884766,46.1752001953125,37.804150114059446,62308.0,97200.0,1.5599922963343391,avgvol50<min,,
GUSH,PASS,36.13999938964844,26.6707999420166,24.20939999580383,1396626.0,2512600.0,1.79904999620514,,,
UYM,fail,29.06999969482422,29.64939998626709,25.381600008010864,27754.0,18300.0,0.6593644159400447,"avgvol50<min,relvol<min,below_sma50",,
BOIL,fail,19.850000381469727,21.289599990844728,32.85795000076294,15247602.0,23202200.0,1.521695018010045,"below_sma50,below_sma200",,
AUX,insufficient_history,,,,,,,,,0.0
BIX,insufficient_history,,,,,,,,,0.0
BTK,insufficient_history,,,,,,,,,0.0
CORE_ETFS_1XXCO,insufficient_history,,,,,,,,,0.0
GHA,insufficient_history,,,,,,,,,0.0
GSV,insufficient_history,,,,,,,,,0.0
CWX,insufficient_history,,,,,,,,,0.0
GSO,insufficient_history,,,,,,,,,0.0
XCI,insufficient_history,,,,,,,,,0.0
IXF,insufficient_history,,,,,,,,,0.0
FPP,insufficient_history,,,,,,,,,0.0
GAX,insufficient_history,,,,,,,,,0.0
HCX,insufficient_history,,,,,,,,,0.0
INDS,fail,39.41999816894531,38.99925010681152,37.68115951538086,12604.74,11.0,0.0008726875762609939,"avgvol50<min,relvol<min",,
IUX,insufficient_history,,,,,,,,,0.0
INX,insufficient_history,,,,,,,,,0.0
