ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days
IYR,fail,100.08000183105469,97.1238003540039,95.98475002288818,7404113.5,1360675.0,0.18377284464912647,relvol<min,
RMS,insufficient_history,,,,,,,,0.0
VGSIX,fail,31.75,30.416400146484374,30.086050004959105,0.0,0.0,,avgvol50<min,
SMH,fail,400.8399963378906,395.3638006591797,330.2683497619629,7240886.62,1133831.0,0.15658731582238197,relvol<min,
XLK,fail,141.13999938964844,143.22879974365233,136.61277515411376,18202993.94,2530997.0,0.13904289636872777,"relvol<min,below_sma50",
IYW,fail,192.8800048828125,196.9767987060547,188.40454948425293,1156321.06,82953.0,0.07173872626690722,"relvol<min,below_sma50",
IYZ,fail,40.15999984741211,36.21720001220703,32.33394995689392,1617025.9,253295.0,0.15664251265239476,relvol<min,
TTH,insufficient_history,,,,,,,,0.0
BDH,insufficient_history,,,,,,,,0.0
XLU,fail,46.775001525878906,44.11770011901856,43.13072504043579,25891030.36,3902818.0,0.15074015772001126,relvol<min,
IDU,fail,118.25,111.94899963378906,109.57559982299804,171557.54,4577.0,0.026679095538441503,"avgvol50<min,relvol<min",
UTH,insufficient_history,,,,,,,,0.0
SOXL,fail,57.599998474121094,58.327599716186526,38.236299991607666,74250994.36,20087218.0,0.27053129958918437,"relvol<min,below_sma50",
SOXS,fail,38.07500076293945,2.869100012779236,5.5111749970912935,515361740.58,16844629.0,0.03268505919947155,relvol<min,
USD,fail,54.10499954223633,55.680500259399416,47.34412504196167,776166.62,168531.0,0.21713250178164065,"relvol<min,below_sma50",
SOXX,fail,343.6300048828125,339.11440124511716,280.22319984436035,6489056.64,1459832.0,0.22496829369638544,relvol<min,
TQQQ,fail,50.543800354003906,52.456275939941406,48.34869390487671,88674698.78,28591739.0,0.3224340132345471,"relvol<min,below_sma50",
SQQQ,fail,69.22579956054688,68.21291633605956,82.02667907714844,47263013.02,16035551.0,0.3392832994632469,"relvol<min,below_sma200",
QLD,fail,68.91999816894531,70.3466000366211,65.73005012512208,4963438.1,1220505.0,0.24589910771728976,"relvol<min,below_sma50",
QID,fail,20.430400848388672,20.174208068847655,22.570902042388916,26980826.96,3045648.0,0.11288193666247803,"relvol<min,below_sma200",
UPRO,fail,114.13990020751953,117.84839797973633,106.0818994140625,4095365.0,1174350.0,0.2867509977743132,"relvol<min,below_sma50",
SPXU,fail,49.750701904296875,48.63301414489746,57.55025339126587,6055447.14,2352757.0,0.38853563504147776,"relvol<min,below_sma200",
SPXL,fail,217.54249572753906,224.57085052490234,201.67461227416993,2580038.54,941127.0,0.3647724580114218,"relvol<min,below_sma50",
SPXS,fail,35.53499984741211,34.68830001831055,40.446475143432615,9617866.3,3756915.0,0.3906183432805673,"relvol<min,below_sma200",
SSO,fail,57.63959884643555,58.724991989135745,54.259623012542725,4202918.56,644128.0,0.1532573117476728,"relvol<min,below_sma50",
SDS,fail,68.73999786376953,67.59,75.22725006103515,3001247.72,1019486.0,0.33968738841724133,"relvol<min,below_sma200",
UDOW,fail,57.814998626708984,61.29989990234375,53.31437480926514,3907178.68,1224034.0,0.31327822458326887,"relvol<min,below_sma50",
SDOW,fail,31.3799991607666,29.968800048828125,36.50360001564026,5238036.74,1845437.0,0.3523146345857818,"relvol<min,below_sma200",
TNA,fail,51.58000183105469,53.184599990844724,43.50925004005432,9681892.1,3824005.0,0.3949646371291413,"relvol<min,below_sma50",
TZA,fail,6.340000152587891,6.343000011444092,8.863999998569488,103880626.66,12832633.0,0.12353249506282869,"relvol<min,below_sma50,below_sma200",
TECL,fail,105.8499984741211,113.8436001586914,110.1852498626709,1169448.04,195702.0,0.1673456137478327,"relvol<min,below_sma50,below_sma200",
TECS,fail,17.829999923706055,17.44239995956421,21.661099987030028,3507246.08,682304.0,0.19454123960415118,"relvol<min,below_sma200",
FNGU,fail,20.56999969482422,21.927399978637695,25.232200021743775,6077976.36,1908018.0,0.3139232348050791,"relvol<min,below_sma50,below_sma200",
FNGD,fail,59.68000030517578,59.59580001831055,58.97744993209839,2584599.66,154023.0,0.05959259469994668,relvol<min,
BULZ,fail,23.121700286865234,24.39665397644043,22.530708508491514,2509648.38,421719.0,0.1680390780480571,"relvol<min,below_sma50",
BERZ,fail,56.04999923706055,58.134199676513674,83.03354988098144,95694.76,16053.0,0.16775213188266527,"avgvol50<min,relvol<min,below_sma50,below_sma200",
UBOT,fail,26.100000381469727,27.50115993499756,24.511760053634642,23408.0,3700.0,0.15806561859193438,"avgvol50<min,relvol<min,below_sma50",
AIBU,fail,40.7599983215332,46.4834398651123,47.88277502059937,14318.28,1114.0,0.07780264109934992,"avgvol50<min,relvol<min,below_sma50,below_sma200",
