ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap,mcap_source
SPXS,fail,35.709999084472656,34.69180000305176,40.44735013961792,9620868.78,3907039.0,0.406100435349665,"relvol<min,below_sma200",,,
SSO,fail,57.41999816894531,58.72059997558594,54.25852500915527,4203626.86,679543.0,0.16165635595924419,"relvol<min,below_sma50",,,
SDS,fail,68.98999786376953,67.595,75.22850006103516,3003231.82,1118691.0,0.3724957202937468,"relvol<min,below_sma200",,,
UDOW,fail,57.41999816894531,61.291999893188475,53.312399806976316,3908559.82,1293091.0,0.3308356682641229,"relvol<min,below_sma50",,,
SDOW,fail,31.584999084472656,29.972900047302247,36.50462501525879,5241190.88,2003144.0,0.3821925294962736,"relvol<min,below_sma200",,,
TNA,fail,51.310001373291016,53.17919998168945,43.5079000377655,9688551.42,4156971.0,0.429060116398701,"relvol<min,below_sma50",,,
TZA,fail,6.377200126647949,6.343744010925293,8.864185998439789,103914014.24,14502012.0,0.13955780753985816,"relvol<min,below_sma200",,,
TECL,fail,105.50499725341797,113.83670013427735,110.18352485656739,1169710.32,208816.0,0.17851941325096626,"relvol<min,below_sma50,below_sma200",,,
TECS,fail,17.920000076293945,17.44419996261597,21.66154998779297,3508112.62,725631.0,0.2068437016141175,"relvol<min,below_sma200",,,
FNGU,fail,20.440000534057617,21.92479999542236,25.231550025939942,6079323.84,1975392.0,0.324936136318739,"relvol<min,below_sma50,below_sma200",,,
FNGD,fail,59.904998779296875,59.600299987792965,58.978574924468994,2584686.2,158350.0,0.06126469046803437,relvol<min,,,
BULZ,fail,22.93079948425293,24.392835960388183,22.529754004478455,2510083.46,443473.0,0.1766765954467506,"relvol<min,below_sma50",,,
BERZ,fail,56.04999923706055,58.134199676513674,83.03354988098144,95716.16,17123.0,0.17889351181660443,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
UBOT,fail,26.100000381469727,27.50115993499756,24.511760053634642,23408.0,3700.0,0.15806561859193438,"avgvol50<min,relvol<min,below_sma50",,,
AIBU,fail,40.7599983215332,46.4834398651123,47.88277502059937,14318.28,1114.0,0.07780264109934992,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
AIBD,fail,8.894000053405762,8.195540027618408,8.646510014533996,61416.82,6841.0,0.11138642476116478,"avgvol50<min,relvol<min",,,
CURE,fail,107.88999938964844,114.07460052490234,93.34060028076172,55653.28,18064.0,0.3245810489516521,"avgvol50<min,relvol<min,below_sma50",,,
SICK,insufficient_history,,,,,,,,0.0,,
LABU,fail,162.14500427246094,168.75949920654296,110.95502477645874,602075.78,208689.0,0.34661583629887915,"relvol<min,below_sma50",,,
LABD,fail,18.6200008392334,18.9718000793457,42.50940012931824,2701754.4,599520.0,0.22190025858753112,"relvol<min,below_sma50,below_sma200",,,
PILL,fail,11.770000457763672,12.437800006866455,8.816650006771088,131790.76,22038.0,0.16721961387884854,"avgvol50<min,relvol<min,below_sma50",,,
WANT,fail,45.40769958496094,50.014753875732424,47.62634834289551,20691.78,3589.0,0.17345051996493294,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
PASS,insufficient_history,,,,,,,,0.0,,
DUSL,fail,92.8949966430664,84.04093963623046,73.89794521331787,25019.18,4959.0,0.19820793487236593,"avgvol50<min,relvol<min",,,
DFEN,fail,89.1886978149414,81.1759740447998,64.07609344482422,358220.08,103104.0,0.28782306117513007,"avgvol50<min,relvol<min",,,
TPOR,fail,36.869998931884766,34.777540092468264,28.725489959716796,22881.02,12051.0,0.5266810657916474,"avgvol50<min,relvol<min",,,
LMTL,insufficient_history,,,,,,,,146.0,,
BOEU,fail,40.16999816894531,44.10882011413574,41.27530014038086,44185.62,1381.0,0.03125451221460737,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
ERY,fail,12.260000228881836,15.857999973297119,20.0508499956131,603230.52,291026.0,0.482445748931934,"relvol<min,below_sma50,below_sma200",,,
DRIP,fail,5.175000190734863,7.520899982452392,8.783074996471406,11153066.08,5039204.0,0.45182230284069114,"relvol<min,below_sma50,below_sma200",,,
SCO,fail,11.75,16.701600036621095,17.6414000415802,2545182.0,2878300.0,1.1308817994155231,"below_sma50,below_sma200",,,
KOLD,fail,21.96500015258789,27.63309997558594,29.724675045013427,11160864.84,851942.0,0.07633297349383544,"relvol<min,below_sma50,below_sma200",,,
EVAV,insufficient_history,,,,,,,,166.0,,
KLNE,insufficient_history,,,,,,,,0.0,,
