ticker,name,market,asset_type,sector,industry,source
086280.KS,현대글로비스,,STOCK,Industrials,Logistics,existing
086390.KQ,유니테스트,,STOCK,Information Technology,Semiconductor equipment,existing
086520.KQ,에코프로,,STOCK,Materials,Battery materials / Holding,existing
086790.KS,하나금융지주,,STOCK,Financial Services,Financial services,existing
086900.KQ,메디톡스,,STOCK,Healthcare,Medical / Biotech,existing
087010.KQ,펩트론,,STOCK,Healthcare,Biotech,existing
088390.KQ,이녹스,,STOCK,Materials,Electronic materials / Holding,existing
089010.KQ,켐트로닉스,,STOCK,Other,Other / Needs review,existing
089030.KQ,테크윙,,STOCK,Information Technology,Semiconductor equipment,existing
089590.KS,제주항공,,STOCK,Industrials,Aerospace / Airline,existing
090710.KQ,휴림로봇,,STOCK,Industrials,Robotics,existing
091700.KQ,파트론,,STOCK,Information Technology,Camera modules / Electronic components,existing
091810.KS,트리니티항공,,STOCK,Industrials,Aerospace / Airline,existing
094850.KQ,참좋은여행,,STOCK,Consumer Discretionary,Travel agency,existing
095660.KQ,네오위즈,,STOCK,Communication Services,Gaming,existing
095700.KQ,제넥신,,STOCK,Healthcare,Biotech,existing
096240.KQ,크레버스,,STOCK,Consumer Discretionary,Education,existing
097230.KS,HJ중공업,,STOCK,Industrials,Heavy industry,existing
097950.KS,CJ제일제당,KOSPI,STOCK,Consumer Staples,Food processing,builtin
097955.KS,CJ제일제당 우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
098460.KQ,고영,,STOCK,Other,Other / Needs review,existing
099320.KQ,쎄트렉아이,,STOCK,Industrials,Satellite / Aerospace,existing
099430.KQ,바이오플러스,,STOCK,Healthcare,Biotech / Healthcare,existing
100590.KS,머큐리,,STOCK,Information Technology,Telecom equipment,existing
101490.KQ,에스앤에스텍,,STOCK,Information Technology,Semiconductor materials / Blank mask,existing
102710.KQ,이엔에프테크놀로지,,STOCK,Materials,Semiconductor chemicals,existing
103140.KS,풍산,,STOCK,Materials,Copper / Non-ferrous metals,existing
103590.KS,일진전기,KOSPI,STOCK,Industrials,Electric wire / Power equipment,builtin
105840.KS,우진,,PREFERRED,Preferred Stock,Preferred / Special share,existing
108230.KQ,톱텍,,STOCK,Industrials,Automation equipment,existing
