# saved_at_kr,2026-05-06 07:56:04 KST
# mode,last price (regular/extended)
# provider,yahoo(yfinance)
# group: finviz_manual
ticker,premarket
ORCL,184.63
OTIS,75.8
PCAR,112.78
PKG,222.71
PLTR,135.65
PANW,183.56
PSKY,10.75
PAYX,91.64
PNR,78.3
PFE,26.45
PCG,16.34
PNW,101.51
PNC,221.63
POOL,188.27
PPG,106.5
PPL,37.56
PFG,100.87
PGR,197.55
PLD,140.14
PRU,100.0
PEG,80.75
PTC,136.9
PSA,300.33
PHM,115.65
DGX,188.51
Q,146.45
RL,360.33
RJF,158.87
O,63.6
REG,77.6
REGN,701.14
RF,28.04
RSG,204.47
RMD,207.88
RVTY,93.87
ROL,54.11
ROP,354.51
SPGI,423.87
CRM,185.75
SNDK,1476.9
SBAC,217.38
STX,790.0
SRE,94.75
NOW,91.1
SPG,201.82
SWKS,69.42
SJM,95.01
SW,39.51
SNA,378.0
SOLV,69.06
SO,96.69
SWK,77.45
STT,149.5
STLD,238.3
STE,212.97
SYF,73.59
SNPS,501.88
SYY,73.08
TMUS,193.05
TROW,103.88
TTWO,223.6
TPR,142.66
TGT,128.4
TDY,628.26
TPL,432.0
TXT,90.71
TKO,187.55
TTD,24.55
TSCO,32.9
TT,486.67
TDG,1211.0
TRV,304.98
TRMB,68.0
TFC,50.18
TYL,326.01
TSN,68.0
USB,55.55
UDR,36.94
UNP,265.18
UPS,98.0
UNH,362.6
UHS,168.63
VTR,86.78
VLTO,88.05
VRSN,277.0
VRSK,180.4
VZ,47.38
VTRS,14.86
VICI,28.32
VMC,294.12
WRB,66.0
GWW,1137.5
WAB,263.0
DIS,100.75
WBD,27.08
WM,225.04
WAT,344.99
WEC,115.23
WELL,212.0
WST,309.54
WDC,475.5
WY,23.72
WSM,181.23
WTW,261.9
WDAY,127.96
XEL,81.45
XYL,117.25
YUM,154.08
ZBRA,223.83
ZBH,82.5
ZTS,112.5
ALNY,300.9
ARM,224.88
TEAM,91.78
CCEP,93.29
FER,69.59
INSM,139.44
MELI,1802.58
PDD,97.03
SHOP,107.87
TRI,95.8
ZS,141.3
# group: tickers_leverage2x
ticker,premarket
ERX,95.0
DIG,62.13
GUSH,42.67
UYM,
BOIL,13.07
UCO,47.38
# group: tickers_leverage_global
ticker,premarket
SOXL,155.05
SOXS,10.66
USD,84.19
SOXX,494.51
SMH,534.48
TQQQ,69.07
SQQQ,47.36
QLD,85.8
QID,15.98
UPRO,133.42
SPXU,40.82
SPXL,254.3
SPXS,29.12
SSO,64.31
SDS,60.56
UDOW,59.94
SDOW,29.06
TNA,65.18
TZA,4.65
TECL,168.89
TECS,10.1
FNGU,27.02
FNGD,40.61
FAS,133.23
FAZ,44.5
LABU,188.75
LABD,13.91
CURE,88.03
DRN,10.82
DRV,
ERX,95.0
ERY,10.96
GUSH,42.67
DRIP,4.11
UCO,47.38
SCO,6.51
BOIL,13.07
KOLD,25.82
USO,139.98
BNO,58.04
NUGT,161.59
DUST,55.91
UGL,57.84
GLL,21.34
TMF,34.94
TMV,38.65
UBOT,28.11
AIBU,59.0
AIBD,5.98
NVDL,90.67
NVDU,120.33
DIREXION,
DAILY,
SEMICONDUCTOR,
BULL,7.29
3X,
BEAR,
PROSHARES,
ULTRA,
SEMICONDUCTORS,
2X,
1X,
BENCHMARK,
BULZ,39.98
MICROSECTORS,
FANG,206.12
ETN,410.77
BERZ,27.42
-3X,
ROBOTICS,
AI,9.36
BIG,
DATA,
HEALTHCARE,
SICK,
MAY,
BE,298.53
INACTIVE,
WILL,
AUTO-SKIP,
IF,
NO,
SP,
BIOTECH,
PILL,13.3
PHARMACEUTICAL,
MEDICAL,
WANT,44.79
CONSUMER,
DISCRETIONARY,
PASS,
DUSL,87.0
INDUSTRIALS,
DFEN,58.6
AEROSPACE,
DEFENSE,
TPOR,32.72
TRANSPORTATION,
LMTL,31.12
LMT,508.88
BOEU,37.73
BA,225.14
BRENT,
WTI,
EVAV,
ELECTRIC,
AUTONOMOUS,
VEHICLES,
KLNE,
GLOBAL,
CLEAN,
ENERGY,
NVDA,197.11
NVDD,35.34
GRANITESHARES,
LONG,
# group: sp69_tickers_only
ticker,premarket
ABBV,206.09
ABT,87.25
ADM,79.07
ADP,210.01
AFL,114.46
ALB,195.52
AMCR,37.8
AOS,58.75
APD,304.2
ATO,184.24
BDX,143.2
BEN,30.44
BF.B,
BRO,58.03
CAH,198.1
CAT,906.65
CB,323.0
CHD,92.47
CHRW,168.54
CINF,160.35
CL,86.34
CLX,86.64
CTAS,169.1
CVX,192.54
DOV,223.47
ECL,259.67
ED,111.1
EMR,136.51
ERIE,221.74
ES,69.65
ESS,266.69
EXPD,154.99
FAST,44.1
FDS,218.0
FRT,115.45
GD,349.18
GPC,106.37
GWW,1137.5
HRL,21.02
IBM,228.39
ITW,254.5
JNJ,225.06
KMB,97.3
KO,78.45
KVUE,17.3
LIN,499.89
LOW,227.46
MCD,286.74
MDT,77.82
MKC,48.49
NDSN,282.69
NEE,96.11
NUE,233.93
O,63.6
PEP,154.64
PG,144.67
PNR,78.3
PPG,106.5
ROP,354.51
SHW,312.76
SJM,95.01
SPGI,423.87
SWK,77.45
SYY,73.08
TGT,128.4
TROW,103.88
WMT,130.6
WST,309.54
XOM,154.5
# group: finviz_top_groups_auto
ticker,premarket
AA,63.0
CSTM,33.24
CENX,62.29
KALU,178.0
AMCI,6.31
AGMH,0.88
DELL,219.99
BRAI,7.13
ALOT,14.52
LOGI,104.5
BTCT,1.28
ANET,150.0
DPRO,5.06
IONQ,47.93
DDD,2.57
CRCT,4.18
CRSR,7.18
CAN,0.55
HPQ,21.3
KTCC,3.04
BGIN,3.67
EBON,2.39
MCRP,2.71
NNDM,1.9
RMCF,2.65
MDLZ,60.7
HSY,184.9
TR,42.77
SOWG,1.39
SCCO,170.65
ERO,26.21
TGB,6.83
FCX,57.8
HBM,22.32
IE,13.01
ENLT,91.0
NRGV,4.3
ELLO,
STEM,10.42
CWEN-A,
CWEN,39.27
BEPC,36.45
AXIA,12.6
FLNC,12.65
RNW,5.36
BEP,33.55
ORA,116.02
SUUN,0.65
BESS,2.2
HTOO,3.17
CREG,0.49
BNRG,2.69
NXXT,0.36
AGIG,1.15
SAFX,0.47
# group: finviz_top_groups_auto_mixed
ticker,premarket
CARS.COM,
# group: finviz_top_groups_auto_today
ticker,premarket
AA,63.0
CSTM,33.24
CENX,62.29
KALU,178.0
AMCI,6.31
AGMH,0.88
DELL,219.99
BRAI,7.13
ALOT,14.52
LOGI,104.5
BTCT,1.28
ANET,150.0
DPRO,5.06
IONQ,47.93
DDD,2.57
CRCT,4.18
CRSR,7.18
CAN,0.55
HPQ,21.3
KTCC,3.04
BGIN,3.67
EBON,2.39
MCRP,2.71
NNDM,1.9
RMCF,2.65
MDLZ,60.7
HSY,184.9
TR,42.77
SOWG,1.39
SCCO,170.65
ERO,26.21
TGB,6.83
FCX,57.8
HBM,22.32
IE,13.01
ENLT,91.0
NRGV,4.3
ELLO,
STEM,10.42
CWEN-A,
CWEN,39.27
BEPC,36.45
AXIA,12.6
FLNC,12.65
RNW,5.36
BEP,33.55
ORA,116.02
SUUN,0.65
BESS,2.2
HTOO,3.17
CREG,0.49
BNRG,2.69
NXXT,0.36
AGIG,1.15
SAFX,0.47
