ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
ERY,10.1,-11.09,48.21,10.56,11.93,12.52,18.62,-4.32,-15.31,-19.36,-45.76,UP,DN,False,21.17,18.66,109.6,18.6,False,False,False,B,0.0
NVDU,93.31,-11.07,49.78,97.19,106.89,108.36,117.08,-3.99,-12.7,-13.89,-20.3,UP,DN,False,115.01,97.39,23.26,128.05,False,False,False,B,0.0
AGMH,0.94,-10.48,38.92,0.92,1.19,1.28,2.76,1.73,-21.3,-26.76,-65.92,DN,DN,False,1.36,1.3,44.68,2.22,False,False,False,B,0.0
GS,814.06,-10.12,77.55,848.02,859.54,873.7,812.44,-4.0,-5.29,-6.83,0.2,UP,DN,True,968.39,780.5,18.96,984.7,False,False,False,B,0.0
DPRO,4.72,-9.4,36.43,4.92,6.39,6.65,6.76,-4.07,-26.09,-29.05,-30.19,DN,DN,False,8.24,6.44,74.58,10.62,False,False,False,B,0.0
NUE,166.0,-8.87,75.44,169.96,172.85,174.96,154.77,-2.33,-3.96,-5.12,7.26,UP,DN,True,196.9,155.14,18.61,196.9,False,False,False,B,0.0
MS,162.0,-7.97,75.45,165.32,165.89,169.04,161.79,-2.01,-2.34,-4.16,0.13,UP,DN,True,188.68,152.8,16.47,192.68,False,False,False,B,0.0
MBLY,6.8,-7.73,46.2,7.06,8.05,8.26,12.24,-3.74,-15.57,-17.64,-44.43,DN,DN,False,14.33,8.32,110.74,11.67,False,False,False,B,0.0
AME,212.89,-7.64,70.25,216.24,224.0,224.67,199.82,-1.55,-4.96,-5.24,6.54,UP,DN,True,242.05,188.47,13.7,242.05,False,False,False,B,0.0
GWW,1065.48,-7.08,80.61,1094.36,1107.24,1111.93,1023.85,-2.64,-3.77,-4.18,4.07,UP,DN,True,1174.21,1033.19,10.2,1218.63,False,False,False,B,0.0
SMCI,21.72,-7.06,34.41,22.59,28.54,29.1,39.56,-3.84,-23.89,-25.36,-45.09,UP,DN,False,34.94,19.48,60.87,34.94,False,False,False,B,0.0
MP,50.97,-6.37,44.94,50.43,56.36,57.48,60.98,1.06,-9.56,-11.32,-16.41,DN,DN,False,63.9,53.89,25.37,72.93,False,False,False,B,0.0
LULU,150.35,-5.36,43.09,153.81,167.56,169.27,187.65,-2.25,-10.27,-11.17,-19.88,DN,DN,False,192.49,143.96,28.03,215.0,False,False,False,B,0.0
AMCI,5.99,-5.15,44.74,5.85,6.61,6.47,9.43,2.38,-9.4,-7.38,-36.48,DN,DN,False,9.45,5.01,57.76,9.45,False,False,False,B,0.0
TMF,34.8,-5.1,48.96,36.06,38.2,38.01,38.89,-3.48,-8.9,-8.44,-10.51,UP,DN,False,41.88,34.56,20.34,41.88,False,False,False,B,0.0
XLB,49.33,-4.68,70.36,49.94,50.85,50.79,46.49,-1.22,-2.98,-2.87,6.12,UP,DN,True,54.14,46.73,9.75,54.14,False,False,True,B,0.0
HOOD,68.49,-4.65,44.74,69.36,74.49,77.77,107.55,-1.26,-8.06,-11.94,-36.32,DN,DN,False,84.75,69.22,23.74,120.88,False,False,False,B,0.0
CAN,0.42,-4.55,46.41,0.42,0.47,0.5,0.82,-0.1,-10.84,-16.39,-48.58,DN,DN,False,0.56,0.43,32.14,0.95,False,False,False,B,0.0
COIN,168.03,-4.03,30.54,172.05,180.83,181.24,278.67,-2.34,-7.08,-7.29,-39.7,DN,UP,False,213.5,139.36,27.06,263.07,False,False,False,B,0.0
HIMS,20.46,5.52,35.58,19.88,19.22,20.53,39.16,2.91,6.45,-0.32,-47.75,DN,DN,False,27.54,13.74,34.6,33.27,False,False,False,B,0.0
HRL,22.9,5.82,36.03,22.37,23.48,23.74,25.08,2.36,-2.48,-3.53,-8.69,DN,DN,False,26.22,23.09,14.5,26.22,False,False,False,B,0.0
KTCC,2.82,6.02,48.57,2.72,2.86,2.87,2.94,3.79,-1.37,-1.8,-4.02,DN,DN,False,3.25,2.62,15.25,3.25,False,False,False,B,0.0
NXXT,0.42,6.33,34.97,0.4,0.55,0.63,1.45,4.56,-23.47,-33.3,-70.98,DN,DN,False,2.02,0.35,379.76,1.3,False,False,False,B,0.0
TSLA,369.69,7.7,31.99,363.15,392.46,397.66,397.33,1.8,-5.8,-7.03,-6.96,DN,DN,False,498.83,387.53,34.93,454.3,False,False,False,B,0.0
