# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
010140.KS,32250.0
034020.KS,127200.0
267260.KS,1299000.0
064350.KS,268500.0
079550.KS,983000.0
047810.KS,179800.0
015760.KS,44500.0
278470.KS,428500.0
090430.KS,134200.0
192820.KS,209000.0
161890.KS,88600.0
051900.KS,279500.0
003230.KS,1316000.0
097950.KS,241000.0
271560.KS,142500.0
282330.KS,132400.0
008770.KS,64700.0
207940.KS,1481000.0
068270.KS,197800.0
000100.KS,90500.0
326030.KS,99300.0
196170.KQ,373500.0
000250.KQ,410000.0
214150.KQ,56300.0
145720.KS,52700.0
035420.KS,208500.0
105560.KS,157900.0
055550.KS,98000.0
086790.KS,126100.0
051910.KS,429000.0
006400.KS,704000.0
003670.KS,267000.0
086520.KQ,155800.0
247540.KQ,215500.0
011170.KS,106200.0
009830.KS,49800.0
010060.KS,356000.0
112610.KS,69400.0
297090.KQ,8780.0
322000.KS,221000.0
307950.KS,446000.0
204320.KS,57900.0
305720.KS,22260.0
305540.KS,27730.0
445290.KS,35810.0
132030.KS,26065.0
411060.KS,30255.0
006800.KS,70300.0
016360.KS,137900.0
005940.KS,36350.0
071050.KS,262000.0
316140.KS,33300.0
024110.KS,22100.0
000810.KS,472500.0
003550.KS,102100.0
034730.KS,475500.0
000880.KS,139900.0
028260.KS,319500.0
000720.KS,159000.0
006360.KS,35950.0
047040.KS,32100.0
298040.KS,4228000.0
357780.KS,458000.0
060280.KQ,16240.0
003490.KS,24500.0
020560.KS,7050.0
272450.KS,6330.0
089590.KS,5340.0
298690.KS,2020.0
091810.KS,913.0
039130.KQ,41850.0
080160.KQ,11460.0
094850.KQ,5490.0
114090.KS,12380.0
034230.KQ,
069960.KS,111700.0
023530.KS,138100.0
004170.KS,409500.0
383220.KS,76600.0
259960.KS,288500.0
241560.KQ,72000.0
005385.KS,249000.0
373220.KS,472000.0
353200.KQ,112800.0
195870.KS,79500.0
005387.KS,250000.0
005389.KS,241000.0
051915.KS,196400.0
006405.KS,355500.0
078935.KS,57100.0
003555.KS,72300.0
005945.KS,28300.0
071055.KS,182900.0
000815.KS,372500.0
010955.KS,59600.0
000885.KS,
001045.KS,90100.0
087010.KS,260500.0
036010.KQ,12180.0
0167A0.KS,15615.0
