import time: self [us] | cumulative | imported package
import time:        23 |         23 |                     pwd
import time:      1267 |       1267 |                     grp
import time:      1394 |       2683 |                   tarfile
import time:       797 |        797 |                   zipfile
import time:       243 |        243 |                   pandas.core.shared_docs
import time:       847 |       6405 |                 pandas.io.common
import time:       463 |       6868 |               pandas.io.formats.format
import time:       237 |       7818 |             pandas.core.methods.describe
import time:       170 |        170 |                   pandas._libs.window
import time:      1446 |       1615 |                 pandas._libs.window.aggregations
import time:      1208 |       1208 |                   pandas._libs.window.indexers
import time:       347 |       1555 |                 pandas.core.indexers.objects
import time:       210 |        210 |                 pandas.core.util.numba_
import time:       231 |        231 |                 pandas.core.window.common
import time:       917 |        917 |                 pandas.core.window.doc
import time:       257 |        257 |                 pandas.core.window.numba_
import time:       600 |        600 |                 pandas.core.window.online
import time:      1014 |       1014 |                 pandas.core.window.rolling
import time:       633 |       7027 |               pandas.core.window.ewm
import time:       642 |        642 |               pandas.core.window.expanding
import time:       236 |       7904 |             pandas.core.window
import time:      5649 |      46138 |           pandas.core.generic
import time:       252 |        252 |           pandas.core.methods.selectn
import time:       166 |        166 |             pandas.core.reshape.util
import time:       206 |        206 |             pandas.core.tools.numeric
import time:       262 |        632 |           pandas.core.reshape.melt
import time:      1329 |       1329 |             pandas._libs.reshape
import time:       479 |        479 |             pandas.core.indexes.accessors
import time:       155 |        155 |               pandas.arrays
import time:       465 |        619 |             pandas.core.tools.datetimes
import time:       828 |        828 |             pandas.io.formats.info
import time:       701 |        701 |               pandas.plotting._core
import time:       424 |        424 |               pandas.plotting._misc
import time:       299 |       1423 |             pandas.plotting
import time:      1853 |       6528 |           pandas.core.series
import time:      3902 |      57449 |         pandas.core.frame
import time:       539 |        539 |         pandas.core.groupby.base
import time:      1490 |       1490 |           pandas._libs.groupby
import time:       326 |        326 |             pandas.core.groupby.categorical
import time:       284 |        609 |           pandas.core.groupby.grouper
import time:       285 |       2383 |         pandas.core.groupby.ops
import time:       211 |        211 |           pandas.core.groupby.numba_
import time:       243 |        243 |           pandas.core.groupby.indexing
import time:      1122 |       1575 |         pandas.core.groupby.groupby
import time:      2376 |      66411 |       pandas.core.groupby.generic
import time:       214 |      66625 |     pandas.core.groupby
import time:       622 |     167564 |   pandas.core.api
import time:       188 |        188 |   pandas.tseries.api
import time:       278 |        278 |           pandas.core.computation.common
import time:       248 |        526 |         pandas.core.computation.align
import time:       447 |        447 |             pprint
import time:       246 |        693 |           pandas.core.computation.scope
import time:       355 |       1048 |         pandas.core.computation.ops
import time:       208 |       1781 |       pandas.core.computation.engines
import time:        84 |         84 |         pandas.core.computation.parsing
import time:       618 |        702 |       pandas.core.computation.expr
import time:       225 |       2707 |     pandas.core.computation.eval
import time:       126 |       2833 |   pandas.core.computation.api
import time:       167 |        167 |     pandas.core.reshape.encoding
import time:       503 |        503 |     pandas.core.reshape.merge
import time:       476 |        476 |     pandas.core.reshape.pivot
import time:       257 |        257 |     pandas.core.reshape.tile
import time:       226 |       1627 |   pandas.core.reshape.api
import time:       270 |        270 |     pandas.api.extensions
import time:       141 |        141 |     pandas.api.indexers
import time:       142 |        142 |         pandas.core.interchange
import time:       472 |        613 |       pandas.core.interchange.dataframe_protocol
import time:        98 |         98 |         pandas.core.interchange.utils
import time:       260 |        358 |       pandas.core.interchange.from_dataframe
import time:       815 |       1785 |     pandas.api.interchange
import time:       136 |        136 |       pandas.core.dtypes.api
import time:       150 |        286 |     pandas.api.types
import time:       701 |        701 |       pandas.core.resample
import time:      1508 |       1508 |             pandas._libs.json
import time:       458 |        458 |             pandas.io.json._normalize
import time:       251 |        251 |             pandas.io.json._table_schema
import time:      1548 |       1548 |                   pandas._libs.parsers
import time:       401 |        401 |                     pandas.io.parsers.base_parser
import time:       277 |        678 |                   pandas.io.parsers.arrow_parser_wrapper
import time:       197 |        197 |                   pandas.io.parsers.c_parser_wrapper
import time:       755 |        755 |                   pandas.io.parsers.python_parser
import time:      1102 |       4278 |                 pandas.io.parsers.readers
import time:       298 |       4576 |               pandas.io.parsers
import time:         9 |       4585 |             pandas.io.parsers.readers
import time:       798 |       7599 |           pandas.io.json._json
import time:       352 |       7950 |         pandas.io.json
import time:         8 |       7958 |       pandas.io.json._json
import time:       818 |        818 |       pandas.io.stata
import time:       119 |       9595 |     pandas.api.typing
import time:       340 |      12415 |   pandas.api
import time:       982 |        982 |           tempfile
import time:       235 |       1217 |         pandas._testing.contexts
import time:       236 |       1452 |       pandas._testing._io
import time:       102 |        102 |       pandas._testing._warnings
import time:      1582 |       1582 |           cmath
import time:      1321 |       2902 |         pandas._libs.testing
import time:       337 |       3238 |       pandas._testing.asserters
import time:       204 |        204 |       pandas._testing.compat
import time:       374 |       5369 |     pandas._testing
import time:       217 |       5585 |   pandas.testing
import time:       212 |        212 |   pandas.util._print_versions
import time:       130 |        130 |     pandas.io.clipboards
import time:       497 |        497 |         pandas.io.excel._util
import time:       360 |        360 |         pandas.io.excel._calamine
import time:       284 |        284 |         pandas.io.excel._odfreader
import time:       596 |        596 |         pandas.io.excel._openpyxl
import time:       126 |        126 |         pandas.io.excel._pyxlsb
import time:       135 |        135 |         pandas.io.excel._xlrd
import time:      1316 |       3310 |       pandas.io.excel._base
import time:       238 |        238 |       pandas.io.excel._odswriter
import time:       230 |        230 |       pandas.io.excel._xlsxwriter
import time:       249 |       4025 |     pandas.io.excel
import time:       189 |        189 |     pandas.io.feather_format
import time:       189 |        189 |     pandas.io.gbq
import time:       468 |        468 |     pandas.io.html
import time:       224 |        224 |     pandas.io.orc
import time:       388 |        388 |     pandas.io.parquet
import time:       182 |        182 |       pandas.compat.pickle_compat
import time:       286 |        468 |     pandas.io.pickle
import time:       383 |        383 |       pandas.core.computation.pytables
import time:       940 |       1323 |     pandas.io.pytables
import time:       236 |        236 |       pandas.io.sas.sasreader
import time:       183 |        419 |     pandas.io.sas
import time:       106 |        106 |     pandas.io.spss
import time:       470 |        470 |     pandas.io.sql
import time:       490 |        490 |     pandas.io.xml
import time:       246 |       9128 |   pandas.io.api
import time:       211 |        211 |   pandas.util._tester
import time:       161 |        161 |   pandas._version_meson
import time:       574 |     323654 | pandas
import time:       446 |        446 |         email
import time:       623 |       1069 |       email.errors
import time:      1111 |       1111 |         http
import time:       256 |        256 |                 email.quoprimime
import time:       267 |        267 |                 email.base64mime
import time:       194 |        194 |                     quopri
import time:       163 |        357 |                   email.encoders
import time:       242 |        599 |                 email.charset
import time:       438 |       1559 |               email.header
import time:       277 |        277 |                 email._parseaddr
import time:       355 |        632 |               email.utils
import time:       335 |       2525 |             email._policybase
